ID_Orden,ID_Equipo,Fecha_ot,Tipo_Mantenimiento,Costo_Mantenimiento,Duracion_Horas,Ubicacion,Periodo,frecuencia_correctivo,Tipo_Equipo,Fabricante,Modelo,Potencia_kW,Horas_Recomendadas_Revision
55,422,2021-01-10,Correctivo,2078,2,Ubicacion_C,2021-01-04,1,Compresor,Fabricante_D,Modelo_7,219,915
56,396,2021-01-11,Correctivo,1136,3,Ubicacion_B,2021-01-11,1,Bomba,Fabricante_A,Modelo_2,200,929
57,477,2021-01-11,Correctivo,4624,23,Ubicacion_D,2021-01-11,1,Compresor,Fabricante_B,Modelo_3,296,696
58,378,2021-01-11,Correctivo,1200,11,Ubicacion_D,2021-01-11,2,Motor,Fabricante_C,Modelo_7,257,961
59,281,2021-01-11,Correctivo,2998,1,Ubicacion_C,2021-01-11,1,Compresor,Fabricante_D,Modelo_1,171,606
60,12,2021-01-11,Correctivo,2058,15,Ubicacion_B,2021-01-11,2,Compresor,Fabricante_A,Modelo_2,207,674
61,228,2021-01-11,Correctivo,3330,21,Ubicacion_B,2021-01-11,1,Generador,Fabricante_B,Modelo_4,116,848
62,194,2021-01-11,Correctivo,3273,21,Ubicacion_C,2021-01-11,1,Motor,Fabricante_A,Modelo_9,310,929
63,208,2021-01-12,Correctivo,1408,16,Ubicacion_D,2021-01-11,1,Generador,Fabricante_B,Modelo_8,381,765
64,352,2021-01-12,Correctivo,2796,15,Ubicacion_B,2021-01-11,1,Motor,Fabricante_C,Modelo_7,467,899
65,200,2021-01-12,Correctivo,3102,14,Ubicacion_B,2021-01-11,1,Generador,Fabricante_A,Modelo_2,401,959
66,395,2021-01-12,Correctivo,4803,10,Ubicacion_A,2021-01-11,1,Compresor,Fabricante_D,Modelo_10,68,712
67,12,2021-01-12,Correctivo,3163,16,Ubicacion_B,2021-01-11,2,Compresor,Fabricante_A,Modelo_2,207,674
68,88,2021-01-13,Correctivo,4812,20,Ubicacion_B,2021-01-11,1,Bomba,Fabricante_B,Modelo_10,129,522
69,99,2021-01-13,Correctivo,1479,5,Ubicacion_B,2021-01-11,1,Bomba,Fabricante_C,Modelo_2,247,515
70,79,2021-01-13,Correctivo,3529,17,Ubicacion_C,2021-01-11,1,Motor,Fabricante_C,Modelo_1,423,613
71,408,2021-01-13,Correctivo,2028,20,Ubicacion_A,2021-01-11,1,Compresor,Fabricante_A,Modelo_9,316,918
72,363,2021-01-13,Correctivo,4899,23,Ubicacion_D,2021-01-11,1,Compresor,Fabricante_B,Modelo_10,286,728
73,322,2021-01-13,Correctivo,1613,1,Ubicacion_D,2021-01-11,1,Generador,Fabricante_B,Modelo_9,206,927
74,417,2021-01-13,Correctivo,3091,15,Ubicacion_C,2021-01-11,1,Bomba,Fabricante_D,Modelo_10,451,678
75,58,2021-01-13,Correctivo,2017,7,Ubicacion_B,2021-01-11,1,Motor,Fabricante_D,Modelo_2,252,673
76,78,2021-01-13,Correctivo,3446,10,Ubicacion_D,2021-01-11,1,Bomba,Fabricante_A,Modelo_2,249,570
77,37,2021-01-14,Correctivo,4119,4,Ubicacion_A,2021-01-11,1,Generador,Fabricante_C,Modelo_1,350,917
78,398,2021-01-14,Correctivo,698,19,Ubicacion_C,2021-01-11,1,Generador,Fabricante_A,Modelo_2,367,549
79,129,2021-01-14,Correctivo,1526,11,Ubicacion_A,2021-01-11,1,Motor,Fabricante_A,Modelo_8,113,790
80,386,2021-01-14,Correctivo,4252,22,Ubicacion_D,2021-01-11,1,Bomba,Fabricante_D,Modelo_4,374,736
81,120,2021-01-14,Correctivo,2237,2,Ubicacion_A,2021-01-11,1,Compresor,Fabricante_B,Modelo_10,246,512
82,382,2021-01-14,Correctivo,2636,1,Ubicacion_A,2021-01-11,1,Bomba,Fabricante_A,Modelo_10,281,634
83,390,2021-01-15,Correctivo,800,14,Ubicacion_D,2021-01-11,1,Generador,Fabricante_D,Modelo_8,489,692
84,327,2021-01-15,Correctivo,4855,20,Ubicacion_C,2021-01-11,1,Generador,Fabricante_A,Modelo_7,208,771
85,103,2021-01-15,Correctivo,888,14,Ubicacion_D,2021-01-11,1,Compresor,Fabricante_B,Modelo_1,438,827
86,378,2021-01-15,Correctivo,4018,23,Ubicacion_D,2021-01-11,2,Motor,Fabricante_C,Modelo_7,257,961
87,370,2021-01-16,Correctivo,4346,3,Ubicacion_C,2021-01-11,1,Compresor,Fabricante_D,Modelo_10,105,654
88,215,2021-01-16,Correctivo,1842,18,Ubicacion_C,2021-01-11,1,Motor,Fabricante_D,Modelo_1,214,720
89,165,2021-01-16,Correctivo,2010,9,Ubicacion_C,2021-01-11,1,Generador,Fabricante_B,Modelo_3,430,768
90,306,2021-01-16,Correctivo,1661,14,Ubicacion_B,2021-01-11,1,Generador,Fabricante_A,Modelo_1,198,935
91,461,2021-01-16,Correctivo,1983,20,Ubicacion_C,2021-01-11,1,Compresor,Fabricante_A,Modelo_10,77,548
92,290,2021-01-16,Correctivo,1761,20,Ubicacion_A,2021-01-11,1,Compresor,Fabricante_D,Modelo_1,459,878
93,128,2021-01-16,Correctivo,3735,9,Ubicacion_C,2021-01-11,1,Bomba,Fabricante_A,Modelo_2,225,605
94,384,2021-01-17,Correctivo,2014,20,Ubicacion_C,2021-01-11,1,Motor,Fabricante_A,Modelo_1,208,773
95,309,2021-01-17,Correctivo,1004,22,Ubicacion_B,2021-01-11,1,Bomba,Fabricante_C,Modelo_6,269,620
96,38,2021-01-17,Correctivo,2171,23,Ubicacion_B,2021-01-11,1,Generador,Fabricante_D,Modelo_10,378,695
97,180,2021-01-17,Correctivo,3825,4,Ubicacion_D,2021-01-11,1,Bomba,Fabricante_D,Modelo_3,398,831
98,457,2021-01-17,Correctivo,3003,12,Ubicacion_B,2021-01-11,1,Generador,Fabricante_A,Modelo_5,224,554
99,239,2021-01-17,Correctivo,4549,22,Ubicacion_D,2021-01-11,1,Generador,Fabricante_C,Modelo_7,279,626
100,27,2021-01-18,Correctivo,2502,18,Ubicacion_D,2021-01-18,1,Generador,Fabricante_C,Modelo_7,463,611
101,350,2021-01-18,Correctivo,4162,11,Ubicacion_A,2021-01-18,1,Generador,Fabricante_A,Modelo_9,127,608
102,280,2021-01-18,Preventivo,765,2,Ubicacion_A,2021-01-18,0,Generador,Fabricante_A,Modelo_8,269,507
103,298,2021-01-18,Correctivo,1211,6,Ubicacion_D,2021-01-18,1,Compresor,Fabricante_A,Modelo_4,180,747
104,419,2021-01-18,Correctivo,2873,12,Ubicacion_D,2021-01-18,1,Bomba,Fabricante_C,Modelo_10,224,663
105,485,2021-01-18,Preventivo,424,1,Ubicacion_A,2021-01-18,0,Compresor,Fabricante_C,Modelo_7,492,507
106,387,2021-01-18,Correctivo,4606,21,Ubicacion_B,2021-01-18,1,Bomba,Fabricante_D,Modelo_9,344,878
107,99,2021-01-18,Preventivo,440,2,Ubicacion_B,2021-01-18,0,Bomba,Fabricante_C,Modelo_2,247,515
108,380,2021-01-18,Correctivo,3306,20,Ubicacion_B,2021-01-18,1,Compresor,Fabricante_A,Modelo_6,426,634
109,448,2021-01-18,Preventivo,565,2,Ubicacion_A,2021-01-18,0,Compresor,Fabricante_A,Modelo_10,104,513
110,499,2021-01-18,Preventivo,816,2,Ubicacion_D,2021-01-18,0,Motor,Fabricante_D,Modelo_8,477,512
111,327,2021-01-19,Correctivo,2407,3,Ubicacion_C,2021-01-18,1,Generador,Fabricante_A,Modelo_7,208,771
112,109,2021-01-19,Correctivo,4747,18,Ubicacion_B,2021-01-18,1,Bomba,Fabricante_C,Modelo_6,446,963
113,356,2021-01-19,Preventivo,844,2,Ubicacion_D,2021-01-18,0,Generador,Fabricante_B,Modelo_7,336,518
114,248,2021-01-19,Preventivo,912,2,Ubicacion_B,2021-01-18,0,Motor,Fabricante_D,Modelo_7,208,522
115,198,2021-01-19,Correctivo,4200,22,Ubicacion_B,2021-01-18,1,Bomba,Fabricante_B,Modelo_6,85,911
116,72,2021-01-19,Preventivo,717,2,Ubicacion_D,2021-01-18,0,Motor,Fabricante_A,Modelo_5,454,560
117,155,2021-01-19,Preventivo,787,1,Ubicacion_A,2021-01-18,0,Bomba,Fabricante_A,Modelo_2,420,550
118,43,2021-01-19,Correctivo,3202,18,Ubicacion_C,2021-01-18,1,Compresor,Fabricante_B,Modelo_6,402,931
119,288,2021-01-19,Correctivo,4345,16,Ubicacion_B,2021-01-18,1,Motor,Fabricante_D,Modelo_9,99,702
120,358,2021-01-20,Correctivo,1536,5,Ubicacion_B,2021-01-18,1,Motor,Fabricante_C,Modelo_2,438,789
121,373,2021-01-20,Preventivo,919,1,Ubicacion_A,2021-01-18,0,Bomba,Fabricante_C,Modelo_8,127,501
122,340,2021-01-20,Preventivo,621,1,Ubicacion_A,2021-01-18,0,Generador,Fabricante_A,Modelo_7,263,563
123,13,2021-01-20,Preventivo,276,1,Ubicacion_B,2021-01-18,0,Bomba,Fabricante_D,Modelo_5,498,525
124,461,2021-01-20,Preventivo,677,1,Ubicacion_C,2021-01-18,0,Compresor,Fabricante_A,Modelo_10,77,548
125,315,2021-01-20,Preventivo,614,2,Ubicacion_C,2021-01-18,0,Bomba,Fabricante_D,Modelo_2,379,579
126,468,2021-01-20,Preventivo,852,1,Ubicacion_A,2021-01-18,0,Motor,Fabricante_A,Modelo_4,371,586
127,466,2021-01-20,Correctivo,690,18,Ubicacion_C,2021-01-18,1,Compresor,Fabricante_A,Modelo_1,457,761
128,181,2021-01-20,Preventivo,635,1,Ubicacion_A,2021-01-18,0,Compresor,Fabricante_A,Modelo_7,475,502
129,183,2021-01-20,Correctivo,1032,5,Ubicacion_B,2021-01-18,1,Bomba,Fabricante_D,Modelo_6,55,951
130,191,2021-01-20,Preventivo,328,2,Ubicacion_D,2021-01-18,0,Bomba,Fabricante_C,Modelo_6,381,508
131,139,2021-01-21,Preventivo,498,1,Ubicacion_D,2021-01-18,0,Compresor,Fabricante_B,Modelo_4,383,591
132,247,2021-01-21,Preventivo,146,1,Ubicacion_B,2021-01-18,0,Generador,Fabricante_C,Modelo_6,111,562
133,260,2021-01-21,Correctivo,4900,9,Ubicacion_A,2021-01-18,1,Generador,Fabricante_B,Modelo_9,285,598
134,28,2021-01-21,Preventivo,223,1,Ubicacion_C,2021-01-18,0,Generador,Fabricante_B,Modelo_2,113,575
135,351,2021-01-21,Correctivo,1602,12,Ubicacion_B,2021-01-18,1,Motor,Fabricante_B,Modelo_6,346,764
136,27,2021-01-21,Preventivo,536,1,Ubicacion_D,2021-01-18,1,Generador,Fabricante_C,Modelo_7,463,611
137,104,2021-01-21,Correctivo,2970,16,Ubicacion_D,2021-01-18,1,Bomba,Fabricante_D,Modelo_4,420,711
138,456,2021-01-21,Preventivo,759,2,Ubicacion_B,2021-01-18,1,Motor,Fabricante_B,Modelo_1,99,527
139,446,2021-01-21,Preventivo,228,2,Ubicacion_A,2021-01-18,0,Generador,Fabricante_C,Modelo_2,95,561
140,299,2021-01-21,Correctivo,2740,11,Ubicacion_A,2021-01-18,1,Generador,Fabricante_A,Modelo_1,204,716
141,421,2021-01-21,Preventivo,516,1,Ubicacion_D,2021-01-18,0,Bomba,Fabricante_D,Modelo_9,271,543
142,303,2021-01-21,Preventivo,607,1,Ubicacion_C,2021-01-18,1,Motor,Fabricante_B,Modelo_1,156,505
143,145,2021-01-21,Correctivo,1296,16,Ubicacion_B,2021-01-18,1,Generador,Fabricante_B,Modelo_9,273,766
144,303,2021-01-21,Correctivo,1656,1,Ubicacion_C,2021-01-18,1,Motor,Fabricante_B,Modelo_1,156,505
145,345,2021-01-21,Preventivo,751,1,Ubicacion_A,2021-01-18,0,Compresor,Fabricante_D,Modelo_4,110,610
146,189,2021-01-22,Correctivo,1442,2,Ubicacion_D,2021-01-18,1,Bomba,Fabricante_D,Modelo_2,442,699
147,407,2021-01-22,Correctivo,4220,24,Ubicacion_C,2021-01-18,1,Bomba,Fabricante_B,Modelo_8,205,723
148,381,2021-01-22,Correctivo,2991,14,Ubicacion_B,2021-01-18,1,Generador,Fabricante_C,Modelo_7,433,577
149,383,2021-01-22,Correctivo,4968,12,Ubicacion_C,2021-01-18,1,Bomba,Fabricante_B,Modelo_3,262,928
150,34,2021-01-22,Preventivo,653,2,Ubicacion_D,2021-01-18,0,Generador,Fabricante_A,Modelo_9,72,597
151,207,2021-01-22,Preventivo,857,1,Ubicacion_A,2021-01-18,0,Generador,Fabricante_A,Modelo_3,80,622
152,391,2021-01-22,Preventivo,100,1,Ubicacion_D,2021-01-18,0,Generador,Fabricante_B,Modelo_7,199,506
153,10,2021-01-22,Preventivo,408,1,Ubicacion_D,2021-01-18,0,Compresor,Fabricante_C,Modelo_9,219,552
154,196,2021-01-22,Correctivo,1391,18,Ubicacion_B,2021-01-18,1,Generador,Fabricante_B,Modelo_8,137,925
155,2,2021-01-22,Preventivo,349,2,Ubicacion_C,2021-01-18,0,Generador,Fabricante_B,Modelo_2,393,522
156,309,2021-01-22,Preventivo,301,2,Ubicacion_B,2021-01-18,0,Bomba,Fabricante_C,Modelo_6,269,620
157,230,2021-01-22,Correctivo,2313,13,Ubicacion_D,2021-01-18,1,Bomba,Fabricante_A,Modelo_9,248,614
158,281,2021-01-22,Preventivo,783,2,Ubicacion_C,2021-01-18,0,Compresor,Fabricante_D,Modelo_1,171,606
159,20,2021-01-22,Preventivo,916,2,Ubicacion_D,2021-01-18,0,Motor,Fabricante_B,Modelo_10,299,500
160,456,2021-01-22,Correctivo,4613,6,Ubicacion_B,2021-01-18,1,Motor,Fabricante_B,Modelo_1,99,527
161,454,2021-01-22,Preventivo,891,2,Ubicacion_D,2021-01-18,0,Generador,Fabricante_B,Modelo_5,158,500
162,260,2021-01-22,Preventivo,514,1,Ubicacion_A,2021-01-18,1,Generador,Fabricante_B,Modelo_9,285,598
163,484,2021-01-22,Preventivo,426,2,Ubicacion_C,2021-01-18,0,Motor,Fabricante_B,Modelo_3,453,613
164,460,2021-01-22,Preventivo,644,1,Ubicacion_D,2021-01-18,0,Bomba,Fabricante_D,Modelo_2,485,525
165,476,2021-01-23,Preventivo,811,2,Ubicacion_B,2021-01-18,0,Motor,Fabricante_D,Modelo_9,439,565
166,429,2021-01-23,Preventivo,158,2,Ubicacion_C,2021-01-18,0,Motor,Fabricante_C,Modelo_2,481,572
167,398,2021-01-23,Preventivo,496,1,Ubicacion_C,2021-01-18,0,Generador,Fabricante_A,Modelo_2,367,549
168,96,2021-01-23,Preventivo,693,2,Ubicacion_C,2021-01-18,0,Motor,Fabricante_B,Modelo_6,76,649
169,61,2021-01-23,Preventivo,752,1,Ubicacion_A,2021-01-18,0,Bomba,Fabricante_D,Modelo_7,77,585
170,105,2021-01-23,Preventivo,986,1,Ubicacion_C,2021-01-18,0,Compresor,Fabricante_D,Modelo_2,384,628
171,419,2021-01-23,Preventivo,702,2,Ubicacion_D,2021-01-18,1,Bomba,Fabricante_C,Modelo_10,224,663
172,170,2021-01-23,Preventivo,929,1,Ubicacion_D,2021-01-18,0,Bomba,Fabricante_C,Modelo_6,295,587
173,413,2021-01-23,Preventivo,123,1,Ubicacion_A,2021-01-18,0,Compresor,Fabricante_D,Modelo_6,363,517
174,492,2021-01-23,Correctivo,3228,1,Ubicacion_A,2021-01-18,1,Motor,Fabricante_D,Modelo_5,355,739
175,90,2021-01-23,Preventivo,741,2,Ubicacion_A,2021-01-18,0,Generador,Fabricante_A,Modelo_4,98,582
176,78,2021-01-23,Preventivo,637,2,Ubicacion_D,2021-01-18,0,Bomba,Fabricante_A,Modelo_2,249,570
177,495,2021-01-23,Preventivo,436,2,Ubicacion_C,2021-01-18,0,Generador,Fabricante_B,Modelo_1,187,653
178,125,2021-01-23,Correctivo,1371,22,Ubicacion_C,2021-01-18,1,Bomba,Fabricante_C,Modelo_9,215,627
179,451,2021-01-23,Preventivo,181,1,Ubicacion_B,2021-01-18,0,Generador,Fabricante_D,Modelo_10,401,540
180,146,2021-01-23,Preventivo,396,1,Ubicacion_A,2021-01-18,1,Bomba,Fabricante_A,Modelo_4,237,518
181,380,2021-01-23,Preventivo,106,2,Ubicacion_B,2021-01-18,1,Compresor,Fabricante_A,Modelo_6,426,634
182,381,2021-01-23,Preventivo,624,2,Ubicacion_B,2021-01-18,1,Generador,Fabricante_C,Modelo_7,433,577
183,9,2021-01-23,Preventivo,230,1,Ubicacion_C,2021-01-18,0,Generador,Fabricante_D,Modelo_8,351,569
184,417,2021-01-23,Preventivo,230,2,Ubicacion_C,2021-01-18,0,Bomba,Fabricante_D,Modelo_10,451,678
185,220,2021-01-23,Preventivo,306,1,Ubicacion_A,2021-01-18,0,Motor,Fabricante_D,Modelo_1,198,591
186,388,2021-01-23,Preventivo,680,1,Ubicacion_B,2021-01-18,0,Motor,Fabricante_C,Modelo_6,474,543
187,19,2021-01-23,Preventivo,709,2,Ubicacion_B,2021-01-18,0,Motor,Fabricante_B,Modelo_1,392,535
188,382,2021-01-23,Preventivo,830,2,Ubicacion_A,2021-01-18,0,Bomba,Fabricante_A,Modelo_10,281,634
189,452,2021-01-24,Preventivo,415,1,Ubicacion_B,2021-01-18,0,Generador,Fabricante_B,Modelo_3,315,581
190,443,2021-01-24,Correctivo,1389,2,Ubicacion_B,2021-01-18,1,Bomba,Fabricante_D,Modelo_2,418,503
191,457,2021-01-24,Preventivo,596,1,Ubicacion_B,2021-01-18,0,Generador,Fabricante_A,Modelo_5,224,554
192,114,2021-01-24,Preventivo,612,2,Ubicacion_D,2021-01-18,0,Motor,Fabricante_B,Modelo_10,494,523
193,146,2021-01-24,Correctivo,1370,11,Ubicacion_A,2021-01-18,1,Bomba,Fabricante_A,Modelo_4,237,518
194,120,2021-01-24,Preventivo,745,1,Ubicacion_A,2021-01-18,0,Compresor,Fabricante_B,Modelo_10,246,512
195,53,2021-01-24,Preventivo,509,1,Ubicacion_D,2021-01-18,0,Generador,Fabricante_A,Modelo_2,57,596
196,206,2021-01-24,Preventivo,141,1,Ubicacion_B,2021-01-18,0,Bomba,Fabricante_C,Modelo_4,149,560
197,408,2021-01-24,Correctivo,1323,20,Ubicacion_A,2021-01-18,1,Compresor,Fabricante_A,Modelo_9,316,918
198,304,2021-01-24,Preventivo,766,2,Ubicacion_B,2021-01-18,0,Generador,Fabricante_C,Modelo_5,84,707
199,326,2021-01-24,Preventivo,389,2,Ubicacion_C,2021-01-18,0,Generador,Fabricante_B,Modelo_1,467,571
200,95,2021-01-24,Preventivo,973,1,Ubicacion_B,2021-01-18,0,Bomba,Fabricante_C,Modelo_4,72,597
201,88,2021-01-24,Preventivo,814,2,Ubicacion_B,2021-01-18,0,Bomba,Fabricante_B,Modelo_10,129,522
202,296,2021-01-24,Preventivo,502,1,Ubicacion_D,2021-01-18,0,Bomba,Fabricante_C,Modelo_1,120,557
203,295,2021-01-24,Correctivo,1482,11,Ubicacion_C,2021-01-18,1,Bomba,Fabricante_D,Modelo_5,253,817
204,268,2021-01-24,Preventivo,991,2,Ubicacion_B,2021-01-18,0,Compresor,Fabricante_A,Modelo_10,207,629
205,353,2021-01-24,Preventivo,571,2,Ubicacion_B,2021-01-18,0,Generador,Fabricante_C,Modelo_5,124,579
206,262,2021-01-24,Preventivo,532,2,Ubicacion_D,2021-01-18,0,Compresor,Fabricante_A,Modelo_8,68,619
207,364,2021-01-24,Preventivo,850,2,Ubicacion_D,2021-01-18,0,Bomba,Fabricante_D,Modelo_3,279,504
208,159,2021-01-24,Preventivo,445,1,Ubicacion_A,2021-01-18,0,Generador,Fabricante_D,Modelo_3,359,512
209,366,2021-01-24,Preventivo,544,1,Ubicacion_C,2021-01-18,0,Motor,Fabricante_D,Modelo_4,119,660
210,259,2021-01-24,Correctivo,3011,22,Ubicacion_D,2021-01-18,1,Compresor,Fabricante_A,Modelo_3,367,536
211,370,2021-01-24,Preventivo,235,2,Ubicacion_C,2021-01-18,0,Compresor,Fabricante_D,Modelo_10,105,654
212,250,2021-01-24,Preventivo,196,1,Ubicacion_A,2021-01-18,0,Motor,Fabricante_D,Modelo_9,476,620
213,74,2021-01-24,Preventivo,440,1,Ubicacion_A,2021-01-18,0,Compresor,Fabricante_D,Modelo_10,113,502
214,33,2021-01-24,Preventivo,261,2,Ubicacion_A,2021-01-18,0,Generador,Fabricante_C,Modelo_10,128,613
215,310,2021-01-24,Preventivo,437,2,Ubicacion_B,2021-01-18,0,Bomba,Fabricante_A,Modelo_9,398,632
216,58,2021-01-24,Preventivo,807,2,Ubicacion_B,2021-01-18,0,Motor,Fabricante_D,Modelo_2,252,673
217,186,2021-01-24,Preventivo,175,1,Ubicacion_C,2021-01-18,0,Motor,Fabricante_D,Modelo_8,279,634
